name,email,Wybrany dnia,Lista,Okręg wyborczy,Liczba głosów,Ślubowanie,Staż parlamentarny,Klub/koło,Data i miejsce urodzenia,Wykształcenie,Ukończona szkoła,Zawód,Funkcja w klubie/kole,Tytuł/stopień naukowy,Wybrana dnia,Funkcja w Sejmie,Wygaśnięcie mandatu
Mirosław Maliszewski,Miroslaw.Maliszewski@sejm.pl,13-10-2019,Polskie Stronnictwo Ludowe,17  Radom,12752,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści","28-02-1968, Warszawa",wyższe,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Ekonomiczno - Rolniczy, Ekonomika rolnictwa - magister inżynier (1996)",rolnik-ogrodnik,,,,,
Jerzy Małecki,Jerzy.Malecki@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,35  Olsztyn,9631,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"23-04-1972, Pisz",wyższe,"Uczelnia Jańskiego w Łomży, Zarządzanie, Zarzadzanie Firmą - licencjat (2016)Uczelnia Jańskiego w Łomży, Zarządzanie, Ekonomia pracy i zarządzanie kapitałem ludzkim - magister (2018)",specjalista bankowości,,,,,
Maciej Małecki,Maciej.Malecki@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,16  Płock,34086,12-11-2019,"poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"09-10-1974, Warszawa",wyższe,"Katolicki Uniwersytet Lubelski Jana Pawła II, Studium samorządowe (1996) - studia podyplomoweKatolicki Uniwersytet Lubelski Jana Pawła II, Wydział Nauk Humanistycznych, Historia - magister (1998)Szkoła Główna Handlowa w Warszawie, Menadżerskie (2006) - studia podyplomoweWyższa Szkoła Kultury Społecznej i Medialnej, Wykorzystywanie funduszy unijnych (2009) - studia podyplomoweSzkoła Główna Handlowa w Warszawie, Zarządzanie zasobami pracy (2010) - studia podyplomoweWyższa Szkoła Handlu i Usług w Poznaniu, MBA (2018) - studia podyplomowe",historyk,,,,,
Arkadiusz Marchewka,Arkadiusz.Marchewka@sejm.pl,13-10-2019,Koalicja Obywatelska,41  Szczecin,30047,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","18-01-1986, Szczecin",wyższe,"Zachodniopomorski Uniwersytet Technologiczny, Wydział Ekonomiczny, Zarządzanie i marketing - licencjat (2009)Uniwersytet Szczeciński, Wydział Humanistyczny, Stosunki międzynarodowe - magister (2010)Uniwersytet Szczeciński, Wydział Humanistyczny, stosunki międzynarodowe - magister (2010)Uniwersytet Szczeciński, Wydział Zarządzania i Ekonomiki Usług, nauki ekonomiczne - doktor (2016)Uniwersytet Szczeciński, Wydział Zarządzania i Ekonomiki Usług, nauki ekonomiczne - doktor (2016)",ekonomista,, doktor,,,
Jagna Marczułajtis-Walczak,Jagna.Marczulajtis-Walczak@sejm.pl,,Koalicja Obywatelska,14  Nowy Sącz,21968,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","15-12-1978, Zakopane",wyższe,"Akademia Wychowania Fizycznego w Krakowie, Wychowanie Fizyczne, Trenerska - magister (2004)Akademia Wychowania Fizycznego w Krakowie, Specjalizacja Trenerska, Trener I klasy Snowbord (2006) - studia podyplomoweUniwersytet Jagielloński w Krakowie, Zarządzanie Organizacjami Sportowymi, Menedżer Sportu (2011) - studia podyplomoweAkademia Wychowania Fizycznego w Krakowie, Specjalizacja Trenerska, Trener Klasy II Narciarstwo Alpejskie (2011) - studia podyplomowe",trener sportowy,,,13-10-2019,,
Gabriela Masłowska,Gabriela.Maslowska@sejm.pl,,Prawo i Sprawiedliwość,6  Lublin,14446,12-11-2019,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"27-06-1950, Batorz",wyższe,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Ekonomiczny, Ekonomika rolnictwa - magister (1974)Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Nauki ekonomiczne - doktor (1982)",parlamentarzysta,, doktor,13-10-2019,,
Jerzy Materna,Jerzy.Materna@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,8  Zielona Góra,22729,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"25-03-1956, Zielona Góra",wyższe,"Wyższa Szkoła Inżynierska, Budownictwo, Technologia i organizacja - magister inżynier (1983)Wyższa Szkoła Handlu i Finansów Międzynarodowych, Wycena nieruchomości (2002) - studia podyplomowe",inżynier budownictwa ogólnego,,,,,
Beata Mateusiak-Pielucha,Beata.Mateusiak-Pielucha@sejm.pl,,Prawo i Sprawiedliwość,11  Sieradz,13030,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"23-04-1963, Wieluń",średnie ogólne,Liceum Ogólnokształcące im. T. Kościuszki (1982),parlamentarzysta,,,13-10-2019,,
Grzegorz Matusiak,Grzegorz.Matusiak@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,30  Bielsko-Biała,11195,12-11-2019,"poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"24-02-1961, Jaworzno",wyższe,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Elektromechaniki, Automatyki i Elektroniki, Elektrotechnika - inżynier (2001)",inż. energetyk,,,,,
Marek Matuszewski,Marek.Matuszewski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,11  Sieradz,13392,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"14-08-1959, Zgierz",średnie zawodowe,Technikum Samochodowe w Łodzi - technik (1988),parlamentarzysta,,,,,
Kazimierz Matuszny,Kazimierz.Matuszny@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,27  Bielsko-Biała,12967,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"04-03-1960, Milówka",wyższe,"Politechnika Śląska, Wydział Automatyki i Elektroniki, Elektronika - magister (1985)",parlamentarzysta,,,,,
Paulina Matysiak,Paulina.Matysiak@sejm.pl,,Sojusz Lewicy Demokratycznej,11  Sieradz,16757,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","02-10-1984, Kutno",wyższe,"Uniwerystet Mikołaja Kopernika w Toruniu, Wydział Filologiczny, Filologia Polska - magister (2009)Collegium Civitas, Szkoła Filozoficzna Tadeusza Gadacza, Filozofia XX wieku (2011) - studia podyplomoweUniwersytet Mikołaja Kopernika w Toruniu, Wydział Humanistyczny, Etyka (2015) - studia podyplomowe",kierownik działu finansowego,,,13-10-2019,,
Iwona Michałek,Iwona.Michalek@sejm.pl,,Prawo i Sprawiedliwość,5  Toruń,11130,12-11-2019,poseł VIII kadencji,Koło Parlamentarne Porozumienie Jarosława Gowina,"13-03-1956, Szczecin",wyższe,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Biologii i Nauk o Ziemi, Biologia środowiskowa - magister (1981)Uniwersytet Mikołaja Kopernika w Toruniu, Ochrona środowiska (1989) - studia podyplomoweUniwersytet Mikołaja Kopernika w Toruniu, Zarządzanie (1999) - studia podyplomowe",nauczyciel,,,13-10-2019,,
Krzysztof Mieszkowski,Krzysztof.Mieszkowski@sejm.pl,13-10-2019,Koalicja Obywatelska,3  Wrocław,13814,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","19-05-1956, Głogów",średnie ogólne,XIV Liceum Ogólnokształcące (1976),kulturoznawca,,,,,
Anna Milczanowska,Anna.Milczanowska@sejm.pl,,Prawo i Sprawiedliwość,10  Piotrków Trybunalski,20451,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"18-07-1958, Radomsko",wyższe,"Uniwersytet Opolski, Wydział Filologiczno-Historyczny, Pedagogika kulturalo-oświatowa - magister (1999)Polska Akademia Nauk, Prawodawstwo europejskie (2008) - studia podyplomowe",pedagog,,,13-10-2019,,
Daniel Milewski,Daniel.Milewski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,18  Siedlce,40152,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"22-11-1989, Chicago (USA)",wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2013)Wyzsza Szkoła Ekonomiczna, International Economics and Business Management, Ekonomia - magister (2016)WSM&World Jurist Association, Master of Laws - LL.M (2017) - studia podyplomoweUniwersytet Warszawski, Wydział Prawa i Administracji, prawo - doktor (2018)",prawnik,, doktor,,,
Rajmund Miller,Rajmund.Miller@sejm.pl,13-10-2019,Koalicja Obywatelska,21  Opole,8820,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","16-07-1954, Kielce",wyższe,"Akademia Medyczna w Łodzi, Wydział Lekarski, Lekarz - lekarz (1978)",lekarz medycyny,,,,,
Aleksander Miszalski,Aleksander.Miszalski@sejm.pl,13-10-2019,Koalicja Obywatelska,13  Kraków,15987,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","07-08-1980, Kraków",wyższe,"Akademia Ekonomiczna w Krakowie, Wydział Ekonomii, Miedzynarodowe Stosunki Gospodarcze i Polityczne - magister (2004)Akademia Wychowania Fizycznego w Krakowie, Wychowanie Fizyczne, Turystyka i Rekreacja - magister (2008)Uniwersytet Jagielloński, Wydział Filozoficzny, Socjologia - magister (2010)",przedsiębiorca,,,,,
Mateusz Morawiecki,Mateusz.Morawiecki@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,31  Katowice,133687,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"20-06-1968, Wrocław",wyższe,"Uniwersytet Wrocławski, Wydział Filozoficzno-Historyczny, Historia - magister (1992)Uniwersytet Hamburski, prawo europejskie i ekonomia integracji gospodarczej (1995) - studia podyplomowe",polityk,,,,,
Jan Mosiński,Jan.Mosinski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,36  Kalisz,16479,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"19-12-1956, Lubin",wyższe,"Uniwersytet im Adama Mickiewicza w Poznaniu, Wydział Nauk Politycznych i Dziennikarstwa, Administracja europejska - magister (2005)Uniwersytet im Adama Mickiewicza w Poznaniu, Politologia - doktor (2009)",parlamentarzysta,, doktor,,,
Kazimierz Moskal,Kazimierz.Moskal@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,23  Rzeszów,17444,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"02-02-1962, Żyraków",wyższe,"Uniwersytet Pedagogiczny, Wydział Humanistyczny, Historia - magister (1988)Uniwersytet Jagielloński w Krakowie, Administracja publiczna (1996) - studia podyplomoweUniwersytet Rzeszowski, Europeistyka o specjalności administracja publiczna (2004) - studia podyplomowe",nauczyciel,,,,,
Czesław Mroczek,Czeslaw.Mroczek@sejm.pl,13-10-2019,Koalicja Obywatelska,18  Siedlce,11043,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","20-07-1964, Kałuszyn",wyższe,"Politechnika Warszawska, Wydział Elektryczny, Elektrotechnika - magister inżynier (1990)Uniwersytet Warszawski, Wydział Prawa i Administracji, Nauki prawne - magister (1997)",prawnik,,,,,
Aleksander Mrówczyński,Aleksander.Mrowczynski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,26  Słupsk,16726,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"09-12-1953, Chojnice",wyższe,"Uniwersytet Gdański, Wydział Matematyczno-Fizyczny, Matematyka - magister (1977)Collegium Humanum - Szkoła Wyższa Menadżerska Warszawa, EMBA (2019) - studia podyplomowe",parlamentarzysta,,,,,
Izabela Katarzyna Mrzygłocka,Izabela.Mrzyglocka@sejm.pl,,Koalicja Obywatelska,2  Wałbrzych,11987,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","20-05-1959, Wałbrzych",wyższe,"Akademia Ekonomiczna we Wrocławiu, Wydział Zarządzania i Informatyki, Organizacja i zarządzanie - magister (1982)Wyższa Szkoła Studiów Międzynarodowych w Łodzi, Administracja publiczna (2006) - studia podyplomowe",ekonomista,"wiceprzewodnicząca, rzecznik dyscypliny i etyki",,13-10-2019,,
Joanna Mucha,Joanna.Mucha@sejm.pl,,Koalicja Obywatelska,6  Lublin,57577,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Koło Parlamentarne Polska 2050,"12-04-1976, Płońsk",wyższe,"Uniwersytet Warszawski, Wydział Zarządzania, Zarządzanie przedsiębiorstwem - magister (2001)Uniwersytet Warszawski, Ekonomika zdrowia (2006) - studia podyplomoweKatolicki Uniwersytet Lubelski, Wydział Nauk Społecznych, Ekonomia zdrowia - doktor (2007)",ekonomistka,, doktor,13-10-2019,,
Arkadiusz Mularczyk,Arkadiusz.Mularczyk@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,14  Nowy Sącz,72660,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"04-02-1971, Racibórz",wyższe,"Uniwersytet Jagielloński w Krakowie, Wydział Prawa, Prawo - magister (1995)",parlamentarzysta,,,,,
Piotr Müller,Piotr.Muller@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,26  Słupsk,26892,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"02-05-1989, Słupsk",wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2016)",prawnik,,,,,
Killion Munyama,,13-10-2019,Koalicja Obywatelska,38  Piła,7764,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","10-07-1961, Makala",wyższe,"Akademia Ekonomiczna w Poznaniu, Wydział Ekonomiki Produkcji i Obrotu, Handel zagraniczny - magister (1987)Akademia Ekonomiczna w Poznaniu, Wydział Ekonomii (Finanse Międzynarodowe), Nauki ekonomiczne - doktor (1994)Uniwersytet Ekonomiczny w Poznaniu, Wydział Ekonomii, Ekonomia (Finanse międzynarodowe) - doktor habilitowany (2012)",nauczyciel akademicki,, doktor habilitowany,,,10-06-2021
Wojciech Murdzek,Wojciech.Murdzek@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,2  Wałbrzych,6354,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"13-12-1957, Świdnica",wyższe,"Politechnika Wrocławska, Wydział Elektroniki, Cybernetyka - magister inżynier (1981)Politechnika Wrocławska, Projektowanie systemów mikroprocesorowych (1988) - studia podyplomoweMiędzynarodowa Wyższa Szkoła Logistyki i Transportu we Wrocławiu, New public management (2008) - studia podyplomowe",parlamentarzysta,,,,,
Arkadiusz Myrcha,Arkadiusz.Myrcha@sejm.pl,13-10-2019,Koalicja Obywatelska,5  Toruń,32439,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","01-02-1984, Toruń",wyższe,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Prawa i Administracji, Prawo - magister (2009)",radca prawny,,,,,
Grzegorz Napieralski,Grzegorz.Napieralski@sejm.pl,13-10-2019,Koalicja Obywatelska,41  Szczecin,11766,12-11-2019,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, senator IX kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","18-03-1974, Szczecin",wyższe,"Uniwersytet Szczeciński, Wydział Humanistyczny, Politologia i nauki społeczne - magister (2000)",parlamentarzysta,,,,,
Sławomir Neumann,Slawomir.Neumann@sejm.pl,13-10-2019,Koalicja Obywatelska,25  Gdańsk,25202,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","30-04-1968, Starogard Gdański",wyższe,"Wyższa Szkoła Bankowa w Poznaniu, Wydział Bankowości, Bankowość - licencjat (1998)Politechnika Koszalińska, Wydział Ekonomii i Zarządzania, Ekonomia - magister (2009)",ekonomista,,,,,
Dorota Niedziela,Dorota.Niedziela@sejm.pl,,Koalicja Obywatelska,12  Kraków,22013,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","20-08-1964, Oświęcim",wyższe,"Uniwersytet Przyrodniczy we Wrocławiu, Wydział Medycyny Weterynaryjnej, Weterynaria - lekarz weterynarii (1991)Uniwersytet Przyrodniczy we Wrocławiu, Chirurgia weterynaryjna (2007) - studia podyplomoweUniwersytet Przyrodniczy we Wrocławiu, Radiologia weterynaryjna (2013) - studia podyplomowe",lekarz weterynarii,,,13-10-2019,,
Małgorzata Niemczyk,Malgorzata.Niemczyk@sejm.pl,,Koalicja Obywatelska,9  Łódź,13421,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","25-10-1969, Łódź",wyższe,"Uniwersytet Łódzki, Wydział Ekonomiczno-Socjologiczny, Cybernetyka ekonomiczna i informatyka w zakresie przetwarzania danych rach. - magister (1993)Akademia Humanistyczno-Ekonomiczna w Łodzi, Wydział Pedagogiki, wychowanie fizyczne z elementami tańca i aerobiku - magister (2018)",ekonomista,,,13-10-2019,,
Sławomir Nitras,Slawomir.Nitras@sejm.pl,13-10-2019,Koalicja Obywatelska,41  Szczecin,78513,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","26-04-1973, Połczyn-Zdrój",wyższe,"Uniwersytet Szczeciński, Wydział Humanistyczny, Politologia - magister (1998)",parlamentarzysta,wiceprzewodniczący,,,,
Barbara Nowacka,Barbara.Nowacka@sejm.pl,,Koalicja Obywatelska,26  Słupsk,88833,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","10-05-1975, Warszawa",wyższe,"Polsko-Japońska Akademia Technik Komputerowych, Wydział Informatyki, Informatyka - inżynier (2006)Uniwersytet Warszawski, Wydział Zarządzania, Zarządzanie - magister (2013)Francuski Instytut Zarządzania, MBA (2014) - studia podyplomowe",informatyczka,wiceprzewodnicząca,,13-10-2019,,
Tomasz Piotr Nowak,Tomasz.Nowak@sejm.pl,13-10-2019,Koalicja Obywatelska,37  Konin,23693,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","22-12-1956, Kwidzyń",wyższe,"Uniwersytet Gdański, Wydział Humanistyczny, Filologia polska - magister (1979)Wyższa Szkoła Zarządzania i Bankowości w Poznaniu, Public Relations (1999) - studia podyplomoweSzkoła Główna Handlowa w Warszawie, Menager samorządu terytorialnego (2014) - studia podyplomowe",parlamentarzysta,,,,,
Danuta Nowicka,Danuta.Nowicka@sejm.pl,,Prawo i Sprawiedliwość,32  Katowice,7574,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"20-07-1951, Niegowonice",wyższe,"Politechnika Częstochowska, Wydział Metalurgiczny, Metalurgia Surówki i Stali - magister inżynier (1975)",metalurg,,,13-10-2019,,
Wanda Nowicka,Wanda.Nowicka@sejm.pl,,Sojusz Lewicy Demokratycznej,29  Katowice,25767,12-11-2019,posłanka VII kadencji,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","21-11-1956, Lublin",wyższe,"Uniwersytet Warszawski, Polonistyka, Filologia klasyczna - magister (1979)Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawa medycznego, bioetyki i socjologii medycyny (2009) - studia podyplomowe",filolożka klasyczna,,,13-10-2019,,
Urszula Nowogórska,Urszula.Nowogorska@sejm.pl,,Polskie Stronnictwo Ludowe,14  Nowy Sącz,11499,12-11-2019,brak,"Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści","29-09-1978, Limanowa",wyższe,"Uniwersytet Pedagogiczny w Krakowie, Wydział Politologii, Politologia / Administracja publiczna - magister (2013)",pracownik samorządowy,sekretarz,,13-10-2019,,
Mirosława Nykiel,Miroslawa.Nykiel@sejm.pl,,Koalicja Obywatelska,27  Bielsko-Biała,46849,12-11-2019,"senator VI kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","23-09-1953, Wańkowa",wyższe,"Uniwersytet Śląski, Wydział Pedagogiczno-Artystyczny, Pedagogika - magister (1983)Ośrodek Kształcenia Nauczycieli w Katowicach, Filologia polska (1987) - studia podyplomoweWyższa Szkoła Europejska im. ks. J. Tischnera w Warszawie, Integracja europejska (2004) - studia podyplomoweSzkoła Główna Handlowa w Warszawie, Kolegium Ekonomiczno-Społeczne (2013) - studia doktoranckie",poseł na sejm RP,,,13-10-2019,,
Robert Obaz,Robert.Obaz@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,1  Legnica,4205,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","08-03-1973, Jelenia Góra",wyższe,"Karkonoska Państwowa Szkoła Wyższa w Jeleniej Górze, Wydział Elektrotechniki i Telekomunikacji, Inżynieria komputerowa - inżynier (2003)Uniwersytet Technologiczno-Przyrodniczy w Bydgoszczy, Wydział Elektroniki i Telekomunikacji, Telekomunikacja - magister (2005)",przedsiębiorca prywatny,,,,,
Marcin Ociepa,Marcin.Ociepa@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,21  Opole,16066,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"21-10-1984, Opole",wyższe,"Uniwersytet Opolski, Wydział Historyczno-Pedagogiczny, Politologia - magister (2008)Wyższa Szkoła Biznesu w Dąbrowie Górniczej, Master of Business Administration (2018) - studia podyplomoweKrajowa Szkoła Administracji Publicznej IESE Barcelona, Master of Public Administration (2019) - studia podyplomowe",nauczyciel akademicki,,,,,
Marzena Okła-Drewnowicz,Marzena.Okla-Drewnowicz@sejm.pl,,Koalicja Obywatelska,33  Kielce,15532,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","20-05-1972, Skarżysko-Kamienna",wyższe,"Katolicki Uniwersytet Lubelski, Wydział Nauk Społecznych, Socjologia - magister (1996)Wyższa Szkoła Handlowa w Kielcach, Organizacja pomocy społecznej (2002) - studia podyplomowe",poseł na sejm RP,,,13-10-2019,,
Tomasz Olichwer,Tomasz.Olichwer@sejm.pl,13-10-2019,Koalicja Obywatelska,29  Katowice,7837,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","18-06-1964, Sosnowiec",wyższe,"Uniwersytet Śląski, Filologia polska, Filologia - magister (1992)",filolog polski,,,,,
Dariusz Olszewski,Dariusz.Olszewski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,20  Warszawa,7454,12-11-2019,poseł V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"26-11-1967, Otwock",wyższe,"Wyższa Szkoła Finansów i Zarządzania w Białymstoku, Wydział Zarządzania i Marketingu, Zarządzanie organizacjami - magister (2006)Wyższa Szkoła Handlu i Usług w Poznaniu, Executive Master of Business Administration (2019) - studia podyplomowe",dyrektor do spraw administracyjnych,,,,,
Paweł Olszewski,Pawel.Olszewski@sejm.pl,13-10-2019,Koalicja Obywatelska,4  Bydgoszcz,35762,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","11-12-1979, Bydgoszcz",wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Zarządzanie i marketing - magister (2003)",ekonomista,,,,,
Marek Opioła,,13-10-2019,Prawo i Sprawiedliwość,16  Płock,14111,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"24-09-1976, Warszawa",wyższe,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Nauki polityczne - magister (2003)Uniwersytet Warszawski, Bezpieczeństwo Narodowe (2004) - studia podyplomowe",politolog,,,,,27-11-2019
Katarzyna Osos,Katarzyna.Osos@sejm.pl,,Koalicja Obywatelska,8  Zielona Góra,11619,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","17-11-1980, Świebodzin",wyższe,"Wyższa Szkoła Handlu i Prawa w Warszawie, Wydział Prawa, Prawo - magister (2004)",radca prawny,,,13-10-2019,,
Jacek Osuch,Jacek.Osuch@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,13  Kraków,12150,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"28-08-1958, Olkusz",wyższe,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Mechaniczny, Budowa maszyn - inżynier (1988)",parlamentarzysta,,,,,
Jacek Ozdoba,Jacek.Ozdoba@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,16  Płock,17873,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"22-09-1991, Warszawa",wyższe,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie, Wydział Prawa i Administracji, Prawo - magister (2016)",prawnik,,,,,
